Fighter,fight_number,opponent_name,win(1)/loss(0),Raw Perf,Opp Str,Adj Perf,Category,Event
Dominick Reyes,8,Jan Blachowicz,0,39.906860638330315,0.5626046743628832,24.585299577347147,Ineffective performance,UFC 253: Adesanya vs. Costa
Dominick Reyes,9,Jiri Prochazka,0,47.06733441800748,0.5,26.78131328384626,Ineffective performance,UFC Fight Night: Reyes vs. Prochazka
Dominick Reyes,10,Ryan Spann,0,41.143372555894366,0.6165260503911405,3.7176275559124035,Outmatched performance,UFC 281: Adesanya vs. Pereira
Dominick Reyes,11,Dustin Jacoby,1,54.759493404710106,0.5027146050402855,54.908143801510015,Effective performance,UFC Fight Night: Cannonier vs. Imavov
Dominick Reyes,12,Anthony Smith,1,61.218964647283826,0.5132074516669567,62.02751116396396,Clear elite performance,UFC 310: Pantoja vs. Asakura
Dominick Reyes,13,Nikita Krylov,1,44.54746773541275,0.5745117780720232,47.866778764984446,High-level competitive fight,UFC 314: Volkanovski vs. Lopes
Dominick Reyes,14,Carlos Ulberg,0,40.74093798188121,0.716492057854766,13.494456993609438,Outmatched performance,UFC Fight Night: Ulberg vs. Reyes
Dominick Reyes,15,Johnny Walker,1,43.375631986712904,0.5212757065205336,44.298479203004874,High-level competitive fight,UFC 327: Prochazka vs. Ulberg
Colton Smith,1,Mike Ricci,1,59.61764262415978,0.5,59.61764262415978,Clear elite performance,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
Colton Smith,2,Robert Whittaker,0,38.478603230104255,0.5,24.66478467049683,Ineffective performance,UFC 160: Velasquez vs Silva 2
Colton Smith,3,Michael Chiesa,0,52.37115284357941,0.5277184267563255,21.647621214341868,Outmatched performance,UFC Fight Night: Fight for the Troops 3
Colton Smith,4,Diego Ferreira,0,42.759423610962465,0.5,1.6248580972165736,Outmatched performance,UFC Fight Night: Swanson vs Stephens
Malcolm Wellmaker,1,Cameron Saaiman,1,43.43636975712878,0.525973089149001,44.56454646113966,High-level competitive fight,UFC Fight Night: Machado Garry vs. Prates
Malcolm Wellmaker,2,Kris Moutinho,1,55.90182792683842,0.5,55.90182792683842,Effective performance,UFC Fight Night: Usman vs. Buckley
Malcolm Wellmaker,3,Ethyn Ewing,0,45.09208178695001,0.5,40.582873608255014,High-level competitive fight,UFC 322: Della Maddalena vs. Makhachev
Ian Heinisch,1,Cezar Ferreira,1,47.52854561104958,0.5912585127942976,51.8659299987899,Effective performance,UFC Fight Night: Magny vs. Ponzinibbio
Ian Heinisch,2,Antonio Carlos Junior,1,54.437186232674655,0.6092532133860733,60.38462375629047,Clear elite performance,UFC Fight Night: Dos Anjos vs. Lee
Ian Heinisch,3,Derek Brunson,0,40.03029935007329,0.5813655157888467,39.28435536886661,High-level competitive fight,UFC 241: Cormier vs. Miocic 2
Ian Heinisch,4,Omari Akhmedov,0,45.28046072966041,0.5506874897303613,43.04756754491506,High-level competitive fight,UFC 245: Usman vs. Covington
Ian Heinisch,5,Gerald Meerschaert,1,64.8548334569409,0.5331422451985763,67.00426824968366,Dominant performance,UFC 250: Nunes vs. Spencer
Ian Heinisch,6,Kelvin Gastelum,0,41.60308830280692,0.5335614769318896,38.839040560896244,High-level competitive fight,UFC 258: Usman vs. Burns
Ian Heinisch,7,Nassourdine Imavov,0,41.79269579244646,0.5,20.43662824250632,Outmatched performance,UFC Fight Night: Sandhagen vs. Dillashaw
Paulo Costa,1,Garreth McLellan,1,60.9616509299915,0.42894015324555795,56.62972535700851,Effective performance,UFC Fight Night: Belfort vs. Gastelum
Paulo Costa,2,Oluwale Bamgbose,1,49.00892454392554,0.4590762740790164,47.00329674820777,High-level competitive fight,UFC 212: Aldo vs. Holloway
Paulo Costa,3,Johny Hendricks,1,50.579622514935,0.5780631123292234,54.528025268888086,Effective performance,UFC 217: Bisping vs. St-Pierre
Paulo Costa,4,Uriah Hall,1,51.841595895226675,0.48331823949622676,50.97678680836911,Effective performance,UFC 226: Miocic vs. Cormier
Paulo Costa,5,Yoel Romero,1,47.70998866895149,0.653499688149721,55.03345705126227,Effective performance,UFC 241: Cormier vs. Miocic 2
Paulo Costa,6,Israel Adesanya,0,39.32733751799007,0.7379846273751247,26.802616756938228,Ineffective performance,UFC 253: Adesanya vs. Costa
Paulo Costa,7,Marvin Vettori,0,48.21500381940563,0.5686366311151493,46.70281886883313,High-level competitive fight,UFC Fight Night: Costa vs. Vettori
Paulo Costa,8,Luke Rockhold,1,54.797268408641045,0.5448962648933724,57.25746108654862,Clear elite performance,UFC 278: Usman vs. Edwards
Paulo Costa,9,Robert Whittaker,0,42.10514534924559,0.6080018454283354,42.44206421406785,High-level competitive fight,UFC 298: Volkanovski vs. Topuria
Paulo Costa,10,Sean Strickland,0,46.11437441913192,0.5910441077821107,45.70137905213878,High-level competitive fight,UFC 302: Makhachev vs. Poirier
Paulo Costa,11,Roman Kopylov,1,52.32462812585683,0.5763076249046348,56.317396222159225,Effective performance,UFC 318: Holloway vs. Poirier 3
Azamat Murzakanov,7,Paulo Costa,0,50.7355622404123,0.6864575897593941,41.83150115936505,High-level competitive fight,UFC 327: Prochazka vs. Ulberg
Manuel Torres,1,Frank Camacho,1,51.92878181501517,0.3704523952203942,45.20153251175721,High-level competitive fight,UFC Fight Night: Blachowicz vs. Rakic
Manuel Torres,2,Nikolas Motta,1,55.283905396948526,0.5,55.283905396948526,Effective performance,UFC Fight Night: Vettori vs. Cannonier
Manuel Torres,3,Chris Duncan,1,58.022171077087464,0.5,58.022171077087464,Clear elite performance,UFC Fight Night: Moreno vs. Royval 2
Manuel Torres,4,Ignacio Bahamondes,0,42.04691317984182,0.5553906605058279,10.801596903932342,Outmatched performance,UFC 306: Riyadh Season Noche UFC
Manuel Torres,5,Drew Dober,1,65.44394421238678,0.49533443304397895,65.13861110879779,Dominant performance,UFC Fight Night: Moreno vs. Erceg
Manuel Torres,6,Grant Dawson,1,47.79542710538787,0.6859618689097673,56.683554055246354,Effective performance,UFC 323: Dvalishvili vs. Yan 2
